Title;ID_greenIT;Priority;Lifecycle;Section;Category;Domain;Responsible;ValidationRules;Implemented ?;Weighted score; sur 373 soit :;3%;
Eliminate non-essential features;109;5;1. Specification;1. Front;0. Functional;UX;Product Ower, product designer;The number features whose usefulness has not been verified with a panel of users before development is lower or equal than 0;1;5;;;
Accurately quantify the dimensions of features and components;110;5;1. Specification;1. Front;0. Functional;UX;Product Ower, product designer;The number features with larger dimensions than needed is lower or equal than '0';0;0;;;
Optimizing the user journey;111;5;2. Design;1. Front;1. UX;UX;UX/UI Designer;The number of friction points is lower or equal than '0';1;5;;;
Validating the user journey;4006;5;2. Design;1. Front;1. UX;UX;UX/UI Designer;The number of complex user journeys with no low-tech alternative is lower or equal than '0';;0;;;
Provide asynchronous processing whenever possible;112;4;2. Design;1. Front;1. UX;UX;Software architect / developper;The number of synchronous processing that takes more than a minute is lower or equal than '0';;0;;;
Respect the principle of instant history navigation;28;4;2. Design;1. Front;1. UX;UX;UX/UI Designer;The number of pages ineligible for _bfcache_ is lower or equal than 0 %;;0;;;
Avoid JavaScript/CSS animations;810;4;2. Design;1. Front;2. HMI (Human Machine Interface);CSS / JS;UX/UI Designer;The number of JS/CSS animations per page is lower or equal than '2';;0;;;
Relevant page titles and metadescriptions;4011;5;2. Design;1. Front;2. HMI (Human Machine Interface);UX;SEO manager;The number page titles not included in the <title> tag and without the site name is lower or equal than '1';;0;;;
Simple, clean and friendly web design;5;4;2. Design;1. Front;2. HMI (Human Machine Interface);UX;UX/UI Designer;The number of pages with design that needs explanation is lower or equal than '0';;0;;;
Prefer pagination to infinite scrolling;4013;4;2. Design;1. Front;2. HMI (Human Machine Interface);UX;UX/UI Designer;The number of lists without classic pagination is is lower or equal than 10%;;0;;;
Prefer assisted input to autocomplete;204;3;2. Design;1. Front;2. HMI (Human Machine Interface);UX;PO/AMOA;The number of autocomplete fields is is lower or equal than 20%;;0;;;
Only use required parts of Javascript libraries and CSS frameworks;811;5;2. Design;1. Front;3. Technical;CSS / JS;Software architect / developper;The number used libraries with unused parts is lower or equal than '1';;0;;;
