Title;ID_greenIT;Priority;Lifecycle;Section;Category;Domain;Responsible;ValidationRules;Implemented ?;Weighted score; sur 373 soit :;3%;Unnamed: 13;uid;id
Provide asynchronous processing whenever possible;112;4;2. Design;1. Front;1. UX;UX;Software architect / developper;The number of synchronous processing that takes more than a minute is lower or equal than '0';;0;;;;ed79a40e-c1bc-489a-973a-bad5ac6f03f7;1
Respect the principle of instant history navigation;28;4;2. Design;1. Front;1. UX;UX;UX/UI Designer;The number of pages ineligible for _bfcache_ is lower or equal than 0 %;;0;;;;34f1fce7-9d7e-457e-a2b6-a822525e6a2f;2
Avoid JavaScript/CSS animations;810;4;2. Design;1. Front;2. HMI;CSS / JS;UX/UI Designer;The number of JS/CSS animations per page is lower or equal than '2';;0;;;;3ad07209-76ac-4839-8f7f-5ab4812f146a;3
Relevant page titles and metadescriptions;4011;5;2. Design;1. Front;2. HMI;UX;SEO manager;The number page titles not included in the <title> tag and without the site name is lower or equal than '1';;0;;;;841e06ab-a035-4755-b468-d420ef707356;4
Prefer pagination to infinite scrolling;4013;4;2. Design;1. Front;2. HMI;UX;UX/UI Designer;The number of lists without classic pagination is is lower or equal than 10%;;0;;;;15661786-247c-47b9-a58a-227c42892232;5
Only use required parts of Javascript libraries and CSS frameworks;811;5;2. Design;1. Front;3. Technical;CSS / JS;Software architect / developper;The number used libraries with unused parts is lower or equal than '1';;0;;;;7df8e194-3e84-4fb1-a79f-44c7cc0229fe;6
Cache frequently used calculated data;47;4;2. Design;1. Front;3. Technical;Data;Software architect / developper;The number non-volatile data that requires computation and accessed multiple times, but not stored in a cache system is lower or equal than '0';;0;;;;47c17f88-20da-4a12-b303-b99cef337a0b;7
Prefer PWA over native mobile applications that are similar to the website;4019;3;2. Design;1. Front;3. Technical;PWA;Software architect / developper;The number apps that could have been PWA is lower or equal than '0';;0;;;;b278b5b6-fd6e-4aa0-8c90-7a82f8d4826c;8
Limit HTTP API calls;4021;4;2. Design;2. Back;3. Technical;API;Software architect / developper;The number endpoints that do not benefit from a relevant caching strategy is lower or equal than '0';;0;;;;a08d10db-1386-4446-94e0-81eedaf9ac13;9
Prefer custom solutions to CMS;2;3;2. Design;2. Back;3. Technical;CMS;Software architect / developper;The number extensions of a site using a CMS is lower or equal than '3';;0;;;;30ca0361-bac0-4813-bbf4-8677de569486;10
Reduce stored data volume to the bare minimum.;4023;5;2. Design;2. Back;3. Technical;Data;Software architect / developper;The number of Go of stored data that is useless for the digital service is lower or equal than '0';;0;;;;608f2bfe-7bea-4585-b409-380928a8aaf6;11
Avoid opening database connections when not necessary;56;3;2. Design;2. Back;3. Technical;Data;Software architect / developper;The number unnecessary database connections for querying or storing necessary service data is lower or equal than '0';;0;;;;2cd10688-80db-447c-bc93-2a260877e0f4;12
"Use ""Request collapsing"" as much as possible";4025;2;2. Design;2. Back;3. Technical;Data;Software architect / developper;The number requests sent to retrieve data belonging to the same business domain through a third-party service is lower or equal than '2';;0;;;;07484532-3ce2-4f81-bfed-53eb756be538;13
"Set up a ""Circuit breaker""";4026;2;2. Design;2. Back;3. Technical;Requests;Software architect / developper;The number of circuit breakers not set up on external services is lower or equal than '0';;0;;;;3ef77153-0e67-4063-8a36-ce6d4b4176d6;14
Set up an elastic architecture;4027;3;2. Design;2. Back;3. Technical;Application server;Software architect / developper;The number unnecessarily deployed resources used when the load is low is lower or equal than '0';;0;;;;adecb407-4116-446f-bb2c-8871711e4036;15
Create a modular application architecture;114;3;2. Design;2. Back;3. Technical;Application server;Software architect / developper;The number of non modular architectures is lower or equal than '0';;0;;;;365fe86b-5502-4cc4-a4cc-616d7d0cef48;16
Provide a CSS print;16;3;3. Implementation;1. Front;1. UX;CSS;UX/UI Designer;The number missing CSS prints is lower or equal than '1';;0;;;;1c160934-aac0-4a7d-bd4a-3ae8c8b45f96;17
Do not display documents within pages;4033;2;3. Implementation;1. Front;1. UX;;User;The number documents displayed in the page content is lower or equal than '0';;0;;;;4950203c-1497-4cac-a49e-ca03ef775ea4;18
Use partial content reloading;40;4;3. Implementation;1. Front;3. Technical;AJAX;UX/UI Designer;The number Content zones that can be partially updated but are not is lower or equal than '0';;0;;;;aa64a082-b35f-4e7d-ad01-2ba7ff40bb0f;19
Limit the number of CSS;10;5;3. Implementation;1. Front;3. Technical;CSS;Software architect / developper;"The number ""CSS files\t**between**"" is lower or equal than 3 and 10";;0;;;;7d5e1126-f214-4e90-af0f-5c3140381a28;20
Divide CSS;9;5;3. Implementation;1. Front;3. Technical;CSS;UX/UI Designer;The number CSS libraries **is between** is lower or equal than 2 and 5;;0;;;;3a5442e1-e10c-4a2f-9c6e-7a18648cb002;21
Use CSS instead of images;11;4;3. Implementation;1. Front;3. Technical;CSS;Software architect / developper;The number images that could have been replaced by CSS is lower or equal than '0';;0;;;;eaec678d-dd63-4684-80fd-c4c704724a43;22
Avoid using raster images for the interface;161;4;5. Utilization;5. Others;3. Technical;Content / images;User;The number raster images for the tested URL is lower or equal than '5';;0;;;;2898f5e5-1336-489f-9a25-b8b3a64b9c03;23
Use CSS Containment;4038;3;3. Implementation;1. Front;3. Technical;CSS;Software architect / developper;The number non-isolated elements is lower or equal than 20%;;0;;;;cb9ac770-e7e8-4785-b688-d0595e4a1922;24
Update several CSS properties at once;34;3;3. Implementation;1. Front;3. Technical;CSS;Software architect / developper;The number CSS declarations that can be grouped into a single one (margin, padding, ...) is lower or equal than '0';;0;;;;fa3dda03-4c16-42ae-b1b2-b4b6afa5b8a6;25
Write efficient CSS selectors;13;3;3. Implementation;1. Front;3. Technical;CSS;Software architect / developper;The number CSS selectors that do not use IDs, classes, or attributes when it's possible is lower or equal than '0';;0;;;;32fbff51-0cb0-4389-bcfd-5d4db3e16f5d;26
Externalize CSS and Javascript;7;5;3. Implementation;1. Front;3. Technical;CSS / JS;Software architect / developper;The number URL with a significant amount of inline CSS/Javascript code is lower or equal than '2';;0;;;;24ec5b8f-58dd-4218-bb59-5ba625612e24;27
